actor, added date, video id, character name, description, encoding, tags, title, user id
"Annie Golden",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Jeannie Ryan","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Beverly D'Angelo",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Sheila Franklin","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Donnie Dacus",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Woof","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Dorsey Wright",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Lafayette","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Treat Williams",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"George Berger","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Jonathan Winters",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"H.S.","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Julius Erving",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"M. Emmet Walsh",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Margaret Avery",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Stockard Channing",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"Mona Mondieu","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
