genre, added date, video id, description, encoding, tags, title, user id
"Anti-war film",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Comedy",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Comedy-drama",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Drama",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Musical",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Musical Drama",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Musical comedy",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"War film",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Comedy",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Fantasy",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Sports",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Adventure Film",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Biographical film",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Crime Fiction",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Western",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
